sigla_tribunal;ramo_justica;meta1;meta2a;meta2b;meta2c;meta2ant;meta4a;meta4b;meta6;meta7a;meta7b;meta8a;meta8b;meta10a;meta10b;meta8_stj;meta10_stj
STM;Justiça Militar da União;84.07;99.69;80.6;NA;39.29;97.0;73.98;NA;NA;NA;NA;NA;NA;NA;NA;NA
STJ;Superior Tribunal de Justiça;116.42;123.47;NA;NA;NA;97.86;97.51;48.1;46.38;53.33;122.35;NA;95.24;NA;NA;NA
TJAP;Justiça Estadual;148.86;117.97;110.83;104.86;48.57;142.0;87.94;27.33;NA;NA;122.13;82.69;99.06;100.0;NA;NA
TJAC;Justiça Estadual;112.19;114.56;110.87;101.65;7.5;139.56;75.13;9.97;40.0;NA;119.35;78.43;94.15;100.0;NA;NA
TJAL;Justiça Estadual;93.52;104.09;100.75;72.63;21.73;129.91;73.42;20.22;NA;NA;65.98;55.56;67.43;90.67;NA;NA
TJAM;Justiça Estadual;83.37;106.24;105.41;102.46;21.15;125.88;64.34;13.97;NA;NA;112.64;46.48;63.41;85.12;NA;NA
TJMMG;Justiça Militar Estadual;82.41;97.02;84.8;NA;96.3;89.28;87.54;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJMRS;Justiça Militar Estadual;128.05;85.55;81.87;NA;88.89;73.02;101.01;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJDFT;Justiça Estadual;101.66;120.17;110.04;104.43;60.56;149.74;93.99;33.14;200.0;NA;118.18;96.95;104.31;99.67;NA;NA
TJMSP;Justiça Militar Estadual;74.79;106.62;82.59;NA;100.0;99.12;75.04;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJES;Justiça Estadual;98.03;90.99;107.19;97.37;11.58;118.99;61.44;12.31;NA;NA;88.19;56.55;72.49;89.88;NA;NA
TJMA;Justiça Estadual;98.57;106.49;103.82;104.22;20.52;111.01;67.17;19.0;109.09;0.0;108.14;78.65;77.42;74.96;NA;NA
TJCE;Justiça Estadual;96.21;100.65;104.16;102.16;14.23;121.71;63.71;14.22;NA;NA;82.17;65.92;69.62;93.33;NA;NA
TJMS;Justiça Estadual;97.91;105.84;109.59;95.06;19.49;131.43;69.53;12.87;NA;NA;93.78;75.22;75.82;98.15;NA;NA
TJGO;Justiça Estadual;97.25;112.3;110.83;102.62;32.99;135.6;72.41;24.48;107.69;NA;102.85;82.63;86.63;99.61;NA;NA
TJMT;Justiça Estadual;111.04;111.0;110.92;102.28;28.93;138.04;82.14;23.08;0.0;NA;107.44;78.37;81.11;100.0;NA;NA
TJBA;Justiça Estadual;100.88;82.41;107.09;102.67;7.65;96.46;44.22;6.83;NA;200.0;75.4;45.27;58.39;92.09;NA;NA
TJPB;Justiça Estadual;98.77;106.77;96.01;97.57;2.7;125.06;75.28;17.13;0.0;NA;105.75;69.04;73.72;91.89;NA;NA
TJPI;Justiça Estadual;108.51;99.82;105.62;98.5;24.24;109.99;61.0;20.5;NA;NA;85.14;54.45;59.49;81.65;NA;NA
TJPA;Justiça Estadual;101.81;104.62;101.95;98.0;21.63;130.52;75.0;14.27;66.67;66.67;97.17;59.7;80.83;85.58;NA;NA
